ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6341795,HP429042,07/02/2008 12:38:09 PM,051XX W ADAMS ST,0520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,RESIDENCE,false,false,1533,015,28,25,04A,1142036,1898843,2008,02/04/2016 06:33:39 AM,41.878486387,-87.753940195,"(41.878486387, -87.753940195)"
3807704,HL175234,02/11/2005 12:03:57 PM,002XX E 115TH ST,0460,BATTERY,SIMPLE,OTHER,false,false,0531,005,9,49,08B,,,2005,02/04/2016 06:33:39 AM,,,
7937053,HT169328,01/20/2010 12:00:00 PM,014XX W 47TH ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),false,false,0933,009,20,61,11,1167305,1873576,2010,02/04/2016 06:33:39 AM,41.808645771,-87.661883006,"(41.808645771, -87.661883006)"
3802734,HL169531,02/08/2005 01:30:00 PM,062XX S WHIPPLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0823,008,15,66,08B,,,2005,02/04/2016 06:33:39 AM,,,
2419887,HH720545,10/17/2002 04:36:35 PM,015XX E 67TH PL,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,CHA PARKING LOT/GROUNDS,true,false,0332,003,5,43,18,,,2002,02/04/2016 06:33:39 AM,,,
2520304,HH852728,12/21/2002 05:48:00 PM,010XX N MONTICELLO AVE,031A,ROBBERY,ARMED: HANDGUN,GROCERY FOOD STORE,false,false,1112,011,27,23,03,,,2002,02/04/2016 06:33:39 AM,,,
4849179,HM455451,07/05/2006 06:50:01 AM,063XX S WENTWORTH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0722,007,20,68,08B,,,2006,02/04/2016 06:33:39 AM,,,
8392637,HT624990,12/07/2011 06:00:00 PM,085XX W CATHERINE AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,false,true,1614,016,41,76,26,1118429,1934755,2011,02/04/2016 06:33:39 AM,41.977438584,-87.839863271,"(41.977438584, -87.839863271)"
6110983,HP204950,03/02/2008 10:32:29 PM,106XX S EGGLESTON AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,VEHICLE NON-COMMERCIAL,true,false,2233,022,34,49,18,1175168,1834450,2008,02/04/2016 06:33:39 AM,41.701107103,-87.634209514,"(41.701107103, -87.634209514)"
2401631,HH691809,10/04/2002 01:45:00 PM,011XX N LAWNDALE AVE,2017,NARCOTICS,MANU/DELIVER:CRACK,STREET,true,false,1112,011,27,23,18,,,2002,02/04/2016 06:33:39 AM,,,
9947597,HY136088,01/31/2015 07:00:00 PM,038XX W DIVISION ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,2535,025,27,23,08B,1150602,1907728,2015,08/17/2015 03:03:40 PM,41.902704765,-87.722255029,"(41.902704765, -87.722255029)"
1755206,G567723,09/21/2001 10:13:00 PM,050XX S BISHOP ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0933,009,,,04B,1167489,1870957,2001,08/17/2015 03:03:40 PM,41.801454993,-87.661283245,"(41.801454993, -87.661283245)"
2814312,HJ471071,07/03/2003 04:00:00 PM,085XX S COTTAGE GROVE AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0632,006,6,44,06,,,2003,02/04/2016 06:33:39 AM,,,
6949693,HR355314,06/02/2009 09:00:00 PM,039XX S ARTESIAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0914,009,12,58,14,1160672,1878436,2009,02/04/2016 06:33:39 AM,41.822121831,-87.686077225,"(41.822121831, -87.686077225)"
8019143,HT250425,04/14/2011 11:02:00 PM,025XX W 63RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,0825,008,15,66,15,1160614,1862799,2011,02/04/2016 06:33:39 AM,41.77921309,-87.686721538,"(41.77921309, -87.686721538)"
6411717,HP495749,08/05/2008 12:00:00 PM,067XX S JEFFERY BLVD,0880,THEFT,PURSE-SNATCHING,GAS STATION,false,false,0332,003,5,43,06,1190703,1860780,2008,02/04/2016 06:33:39 AM,41.772998982,-87.576478539,"(41.772998982, -87.576478539)"
2833113,HJ491012,07/13/2003 11:10:00 AM,002XX W 87TH ST,0860,THEFT,RETAIL THEFT,WAREHOUSE,true,false,0622,006,21,44,06,,,2003,02/04/2016 06:33:39 AM,,,
2566443,HJ152458,01/28/2003 08:21:00 PM,001XX N STATE ST,0890,THEFT,FROM BUILDING,OTHER,false,false,0122,001,42,32,06,,,2003,02/04/2016 06:33:39 AM,,,
